0,49
18,54
6,109
8,112
9,118
12,84
15,94
18,71
21,44
0,42
6,70
8,87
9,83
11,115
12,123
15,106
16,106
18,58
21,40
6,66
9,62
12,55
15,48
17,50
17,45
18,43
0,27
6,50
9,63
12,83
15,46
21,45
0,33
6,47
9,62
12,54
15,49
18,55
21,59
6,101
9,140
12,74
15,60
18,53
21,42
0,47
6,92
9,40
12,28
21,32
0,48
6,51
9,66
12,55
15,54
18,71
